㚒	書開三鹽上
㚔	匣開二耕上
㚔	孃開三鹽入
㚖	昌開三清入
㚖	見開一豪上
㚗	從開三麻平
㚘	並一寒上
㚛	曉開四先入
㚛	曉開四齊去
㚜	云合三B蒸入
㚠	曉開四蕭平
㚠	溪開三A宵平
㚢	泥一模平
㚤	以開三蒸入
㚫	心開一覃入
㚲	昌開三鹽入
㚲	昌開三鹽平
㚷	孃開二佳上
㛁	滂二耕平
㛂	泥合一歌上
㛂	疑合一歌上
㛄	影開三C微平
㛅	日開三之去
㛆	端合一歌去
㛍	曉開三B鹽上
㛍	曉開四添入
㛍	溪開四添入
㛐	心開一豪上
㛑	清開一寒去
㛒	定一侯去
㛗	心合一歌平
㛗	清合一歌平
㛘	滂一魂入
㛥	透開一覃入
㛧	明一談上
㛪	影開三C嚴去
㛮	心開一豪上
㛱	影合一灰上
㛳	以開三祭去
㛴	泥開一豪上
㛶	透開一寒去
㛹	並三A仙平
㛼	初開二咸入
㜂	幫三C鍾平
㜅	曉三C東入
㜇	影合三A支去
㜊	知開三仙上
㜌	溪一侯去
㜎	匣開四齊平
㜓	端開一覃入
㜗	清開一覃上
㜗	清開一覃入
㜗	清開一覃平
㜘	精開三麻平
㜝	疑開一覃上
㜢	來合三虞上
㜣	日開三仙平
㜣	書開三仙上
㜣	泥開四先去
㜤	書開三侵上
㜤	泥開四添上
㜪	生開三臻平
㜮	來開一談去
㜰	以開三陽入
㜰	書開三陽入
㜲	以開三清平
㜳	匣合二皆平
㜵	泥開四蕭上
㜷	明三A支平
㜸	疑開三B仙入
㜺	從開一寒去
㜺	精開一寒去
㜽	精開三之上
㝂	章開三祭去
㝃	明三B仙上
㝃	明三C元上
㝅	泥一侯上
㝅	見一侯去
㝈	生合三仙去
㝈	生合二刪去
㝌	以三尤上
㝌	見三C尤去
㝏	見開二皆去
㝐	以三鍾平
㝖	疑開三B支平
㝗	來開一唐上
㝗	來開一唐平
㝞	影開二麻平
㝢	云合三C虞上
㝣	影開四先入
㝣	影開四齊去
㝤	見一侯去
㝩	溪開一唐上
㝩	溪開一唐平
㝪	端開四添入
㝪	端開四添去
㝯	羣開三B宵平
㝰	明四先平
㝱	明三C東去
㝻	羣開三B真去
㝼	影合三C虞平
㝾	精開一歌上
㝾	精開一歌去
㝿	幫一歌上
㞁	以開三宵去
㞂	透合一灰上
㞄	影開一覃上
㞄	影開一覃平
㞆	溪開三B支去
㞆	見開三B支上
㞇	影合一灰上
㞋	孃開三仙上
㞋	日合三仙上
㞏	澄開三侵入
㞒	曉開二皆去
㞓	溪開三A脂去
㞕	心合一魂入
㞙	泥開四蕭去
㞚	初開三侵入
㞚	生開二銜入
㞚	莊開二咸入
㞛	見開三B脂上
㞜	透合一灰平
㞟	定開四先去
㞟	端開四青上
㞡	知開三仙上
㞢	章開三之平
㞣	並三C文平
㞣	滂三C文平
㞥	崇開三侵平
㞦	見開三B脂上
㞷	羣合三C陽平
㞽	曉合三C元入
㟅	來一東平
㟅	疑一東平
㟅	疑二江平
㟉	來開一豪平
㟋	定合一泰去
㟌	明二江平
㟍	來開一唐平
㟎	透合一歌上
㟎	透合一灰上
㟏	曉開一覃平
㟐	明一唐上
㟐	明一唐去
㟛	從開一談上
㟞	崇開二山上
㟪	影合三C微平
㟳	來開三真入
㟸	見開一豪平
㟺	來合三虞平
㟽	幫三A宵上
㟾	以三鍾平
㠀	端開一豪上
㠆	端開一寒平
㠇	從三尤去
㠊	溪開三C魚平
㠍	精開三侵入
㠐	羣開三B宵平
㠑	從合一灰上
㠑	從合三脂上
㠒	幫三A宵平
㠔	幫二佳去
㠖	疑開三B支上
㠛	影合二庚入
㠝	從合一寒平
㠠	來開三魚平
㠢	匣合二皆平
㠥	來合三脂平
㠦	滂三C東平
㠭	知開三仙上
㠯	以開三之上
㠴	日開三真入
㠵	曉合一唐平
㠷	見開一覃入
㠸	幫三C虞平
㠹	見開二皆去
㠺	明三A宵平
㠽	定一冬平
㠾	影合三C元平
㠿	精開三支平
㡀	並三A祭去
㡁	溪合二麻上
㡅	泥開一歌上
㡆	曉合一唐平
㡇	知開三鹽入
㡇	端開四添平
㡇	透開四添入
㡉	見開四先平
㡊	溪開二咸入
㡋	影開三C嚴入
㡏	生合三虞去
㡏	生合三虞平
㡑	清開三宵平
㡑	精開四蕭上
㡒	定合一魂上
㡒	澄合三真平
㡒	知合三真平
㡓	見合一魂平
㡔	明一東入
㡔	明一模平
㡔	明三C虞去
㡗	定開四齊平
㡗	曉開四齊平
㡘	來開三鹽平
㡙	幫四齊平
㡜	心合三仙入
㡜	心開三仙入
㡜	生開三祭去
㡝	並三C鍾去
㡟	清開一豪平
㡟	精開一豪平
㡥	影開三C殷去
㡧	知開二庚去
㡨	清開三鹽平
㡨	精開三鹽平
㡯	澄開二庚入
㡲	匣合二刪平
㡷	幫一魂上
㡹	清開三支去
㡺	端開一寒去
㡼	以開三脂去
㡿	昌開三清入
㢀	清開三支去
㢁	昌開三支上
㢂	疑開三C嚴上
㢅	來一東去
㢈	定合一灰平
㢊	影開二佳上
㢋	昌開三支上
㢏	定一侯平
㢒	崇開二麻平
㢓	章開三陽去
㢔	精一東上
㢖	滂一寒平
㢗	溪開三B宵去
㢚	來一模上
㢚	來一模平
㢝	心一模平
㢟	徹開三仙上
㢟	徹開三仙平
㢡	精開三陽上
㢧	見開三A幽平
㢨	匣開一寒去
㢪	影一模平
㢪	溪一模平
㢯	端合一魂平
㢰	並三B支去
㢵	曉開三C嚴入
㢸	並三B真入
㢻	孃合三支去
㢼	幫四先入
㢾	見合四先去
㣁	並三B脂去
㣂	疑開二耕入
㣅	從開一覃上
㣆	明三A支平
㣇	以開三脂去
㣇	定開四齊去
㣈	心開三脂去
㣌	生開二銜去
㣎	明三C東入
㣑	以三鍾平
㣙	定開四青入
㣝	心三東平
㣟	曉開三A真入
㣤	從開三仙上
㣥	澄開三之上
㣫	章三鍾上
㣭	精一東平
㣱	崇開二耕入
㣶	知開二山平
㣻	疑開三C廢去
㣿	章開三陽入
㣿	端開四蕭上
㣿	端開四青入
㤄	幫一寒入
㤄	幫一泰去
㤄	滂一泰去
㤄	滂三C元入
㤄	滂三C廢去
㤅	影開一咍去
㤆	滂三C元去
㤇	影開一豪上
㤉	溪開二麻平
㤊	匣開二肴去
㤊	匣開二肴平
㤍	溪開二肴平
