㐖毒	匣開四先入 定一冬入
失序	書開三真入 邪開三魚上
失怙	書開三真入 匣一模上
失恃	書開三真入 常開三之上
失意	書開三真入 影開三C之去
失態	書開三真入 透開一咍去
失戀	書開三真入 來合三仙去
失手	書開三真入 書三尤上
失措	書開三真入 清一模去
失效	書開三真入 匣開二肴去
失明	書開三真入 明三B庚平
失期	書開三真入 羣開三C之平
失業	書開三真入 疑開三C嚴入
失歡	書開三真入 曉合一寒平
失火	書開三真入 曉合一歌上
失獨	書開三真入 定一東入
失盜	書開三真入 定開一豪去
失眠	書開三真入 明四先平
失瞻	書開三真入 章開三鹽平
失神	書開三真入 船開三真平
失禮	書開三真入 來開四齊上
失竊	書開三真入 清開四先入
失策	書開三真入 初開二耕入
失算	書開三真入 心合一寒上
失節	書開三真入 精開四先入
失聲	書開三真入 書開三清平
失職	書開三真入 章開三蒸入
失色	書開三真入 生開三蒸入
失落	書開三真入 來開一唐入
失血	書開三真入 曉合四先入
失衡	書開三真入 匣開二庚平
失言	書開三真入 疑開三C元平
失誤	書開三真入 疑一模去
失責	書開三真入 莊開二耕入
失蹤	書開三真入 精三鍾平
失身	書開三真入 書開三真平
失迷	書開三真入 明四齊平
失道	書開三真入 定開一豪上
失陪	書開三真入 並一灰平
失靈	書開三真入 來開四青平
夷戮	以開三脂平 來三東入
夷曠	以開三脂平 溪合一唐去
夷洲	以開三脂平 章三尤平
夷滅	以開三脂平 明三A仙入
夷然	以開三脂平 日開三仙平
夷狄	以開三脂平 定開四青入
夷門	以開三脂平 明一魂平
夷陵	以開三脂平 來開三蒸平
夸克	溪合二麻平 溪開一登入
夾克	見開二咸入 溪開一登入
夾具	見開二咸入 羣合三C虞去
夾子	見開二咸入 精開三之上
夾層	見開二咸入 從開一登平
夾帶	見開二咸入 端開一泰去
夾心	見開二咸入 心開三侵平
夾批	見開二咸入 滂四齊平
夾持	見開二咸入 澄開三之平
夾擊	見開二咸入 見開四青入
夾板	見開二咸入 幫二刪上
夾棍	見開二咸入 匣合一魂上
夾江	見開二咸入 見二江平
夾盤	見開二咸入 並一寒平
夾緊	見開二咸入 見開三A真上
夾襖	見開二咸入 影開一豪上
夾道	見開二咸入 定開一豪上
夾鉗	見開二咸入 羣開三B鹽平
夾雜	見開二咸入 從開一覃入
奉公	並三C鍾上 見一東平
奉勸	並三C鍾上 溪合三C元去
奉化	並三C鍾上 曉合二麻去
奉命	並三C鍾上 明三B庚去
奉天	並三C鍾上 透開四先平
奉承	並三C鍾上 常開三蒸平
奉新	並三C鍾上 心開三真平
奉旨	並三C鍾上 章開三脂上
奉現	並三C鍾上 匣開四先去
奉祀	並三C鍾上 邪開三之上
奉節	並三C鍾上 精開四先入
奉系	並三C鍾上 匣開四齊去
奉職	並三C鍾上 章開三蒸入
奉詔	並三C鍾上 章開三宵去
奉賢	並三C鍾上 匣開四先平
奉贈	並三C鍾上 從開一登去
奉送	並三C鍾上 心一東去
奉陪	並三C鍾上 並一灰平
奎寧	溪合四齊平 泥開四青平
奎文	溪合四齊平 明三C文平
奎星	溪合四齊平 心開四青平
奏帖	精一侯去 透開四添入
奏效	精一侯去 匣開二肴去
奕訢	以開三清入 曉開三C殷平
奕詝	以開三清入 知開三魚上
奚落	匣開四齊平 來開一唐入
奢侈	書開三麻平 昌開三支上
奢求	書開三麻平 羣三C尤平
奢泰	書開三麻平 透開一泰去
奢盼	書開三麻平 滂二山去
奢糜	書開三麻平 明三B支平
奢靡	書開三麻平 明三B支上
奢香	書開三麻平 曉開三C陽平
奪回	定合一寒入 匣合一灰平
奪得	定合一寒入 端開一登入
奪權	定合一寒入 羣合三B仙平
奪目	定合一寒入 明三C東入
奪金	定合一寒入 見開三B侵平
奪魁	定合一寒入 溪合一灰平
奮力	幫三C文去 來開三蒸入
奮勇	幫三C文去 以三鍾上
奮戰	幫三C文去 章開三仙去
奮發	幫三C文去 幫三C元入
奮袂	幫三C文去 明三A祭去
奮起	幫三C文去 溪開三C之上
奮進	幫三C文去 精開三真去
奮飛	幫三C文去 幫三C微平
奮鬥	幫三C文去 端一侯去
奴婢	泥一模平 並三A支上
奴家	泥一模平 見開二麻平
奴工	泥一模平 見一東平
奴役	泥一模平 以合三清入
奴才	泥一模平 從開一咍平
奴隸	泥一模平 來開四齊去
奸人	見開一寒平 日開三真平
奸佞	見開一寒平 泥開四青去
奸商	見開一寒平 書開三陽平
奸宄	見開一寒平 見合三B脂上
奸官	見開一寒平 見合一寒平
奸徒	見開一寒平 定一模平
奸民	見開一寒平 明三A真平
奸狡	見開一寒平 見開二肴上
奸猾	見開一寒平 匣合二山入
奸細	見開一寒平 心開四齊去
奸臣	見開一寒平 常開三真平
奸計	見開一寒平 見開四齊去
奸詐	見開一寒平 莊開二麻去
奸賊	見開一寒平 從開一登入
奸險	見開一寒平 曉開三B鹽上
奸黨	見開一寒平 端開一唐上
好吃	曉開一豪去 見開三C殷入
好客	曉開一豪去 溪開二庚入
好戰	曉開一豪去 章開三仙去
好色	曉開一豪去 生開三蒸入
妄人	明三C陽去 日開三真平
妄動	明三C陽去 定一東上
妄圖	明三C陽去 定一模平
妄念	明三C陽去 泥開四添去
妄想	明三C陽去 心開三陽上
妄求	明三C陽去 羣三C尤平
妄為	明三C陽去 云合三B支平
妄言	明三C陽去 疑開三C元平
妊婦	日開三侵去 並三C尤上
妒嫉	端一模去 從開三真入
妒忌	端一模去 羣開三C之去
妖人	影開三B宵平 日開三真平
妖冶	影開三B宵平 以開三麻上
妖婦	影開三B宵平 並三C尤上
妖媚	影開三B宵平 明三B脂去
妖怪	影開三B宵平 見合二皆去
妖物	影開三B宵平 明三C文入
妖術	影開三B宵平 船合三真入
妖言	影開三B宵平 疑開三C元平
妖魔	影開三B宵平 明一歌平
妙品	明三A宵去 滂三B侵上
妙手	明三A宵去 書三尤上
妙招	明三A宵去 章開三宵平
妙筆	明三A宵去 幫三B真入
妙計	明三A宵去 見開四齊去
妙齡	明三A宵去 來開四青平
妝容	莊開三陽平 以三鍾平
妝扮	莊開三陽平 幫二山去
妝飾	莊開三陽平 書開三蒸入
妝點	莊開三陽平 端開四添上
妥協	透合一歌上 匣開四添入
妥善	透合一歌上 常開三仙上
妥實	透合一歌上 船開三真入
妥帖	透合一歌上 透開四添入
妥貼	透合一歌上 透開四添入
妲己	端開一寒入 見開三C之上
妹妹	明一灰去 明一灰去
妹子	明一灰去 精開三之上
妹紙	明一灰去 章開三支上
妾侍	清開三鹽入 常開三之去
姆媽	明一侯去 明一模上
姆指	明一侯去 章開三脂上
始建	書開三之上 見開三C元去
始末	書開三之上 明一寒入
始發	書開三之上 幫三C元入
始祖	書開三之上 精一模上
始終	書開三之上 章三東平
始點	書開三之上 端開四添上
姍姍	心開一寒平 心開一寒平
姐丈	精開三麻上 澄開三陽上
姐妹	精開三麻上 明一灰去
姐姐	精開三麻上 精開三麻上
姑丈	見一模平 澄開三陽上
姑姑	見一模平 見一模平
姑娘	見一模平 孃開三陽平
姑婆	見一模平 並一歌平
姑媽	見一模平 明一模上
姑子	見一模平 精開三之上
姑息	見一模平 心開三蒸入
姑母	見一模平 明一侯上
姓名	心開三清去 明三A清平
姚安	以開三宵平 影開一寒平
姚明	以開三宵平 明三B庚平
姚濱	以開三宵平 幫三A真平
姜文	見開三C陽平 明三C文平
姥姥	明一模上 明一模上
姥娘	明一模上 孃開三陽平
姥鯊	明一模上 生開二麻平
姦情	見開二刪平 從開三清平
姦殺	見開二刪平 生開二山入
姦淫	見開二刪平 以開三侵平
姦雄	見開二刪平 云三C東平
姨丈	以開三脂平 澄開三陽上
姨妹	以開三脂平 明一灰去
姨姐	以開三脂平 精開三麻上
姨娘	以開三脂平 孃開三陽平
姨媽	以開三脂平 明一模上
姨母	以開三脂平 明一侯上
姻緣	影開三A真平 以合三仙平
姿勢	精開三脂平 書開三祭去
姿容	精開三脂平 以三鍾平
姿式	精開三脂平 書開三蒸入
姿態	精開三脂平 透開一咍去
姿色	精開三脂平 生開三蒸入
威信	影合三C微平 心開三真去
威儀	影合三C微平 疑開三B支平
威利	影合三C微平 來開三脂去
威力	影合三C微平 來開三蒸入
威勢	影合三C微平 書開三祭去
威化	影合三C微平 曉合二麻去
威卜	影合三C微平 幫一東入
威厲	影合三C微平 來開三祭去
威名	影合三C微平 明三A清平
威嚴	影合三C微平 疑開三C嚴平
威士	影合三C微平 崇開三之上
威客	影合三C微平 溪開二庚入
威容	影合三C微平 以三鍾平
威廉	影合三C微平 來開三鹽平
威德	影合三C微平 端開一登入
威懾	影合三C微平 章開三鹽入
威權	影合三C微平 羣合三B仙平
威武	影合三C微平 明三C虞上
威海	影合三C微平 曉開一咍上
威烈	影合三C微平 來開三仙入
威猛	影合三C微平 明二庚上
威迫	影合三C微平 幫二庚入
威逼	影合三C微平 幫三B蒸入
威靈	影合三C微平 來開四青平
威顯	影合三C微平 曉開四先上
威駭	影合三C微平 匣開二皆上
娃娃	影開二佳平 影開二佳平
娃子	影開二佳平 精開三之上
娘娘	孃開三陽平 孃開三陽平
娘媽	孃開三陽平 明一模上
娘子	孃開三陽平 精開三之上
娘家	孃開三陽平 見開二麻平
娘惹	孃開三陽平 日開三麻上
娘泡	孃開三陽平 滂二肴平
娘炮	孃開三陽平 滂二肴去
娘的	孃開三陽平 端開四青入
娘胎	孃開三陽平 透開一咍平
娜娜	泥開一歌上 泥開一歌上
娟秀	影合三A仙平 心三尤去
娥眉	疑開一歌平 明三B脂平
娭姐	曉開三C之平 精開三麻上
婆姨	並一歌平 以開三脂平
婆娘	並一歌平 孃開三陽平
婆婆	並一歌平 並一歌平
婆子	並一歌平 精開三之上
婆家	並一歌平 見開二麻平
婉妙	影合三C元上 明三A宵去
婉拒	影合三C元上 羣開三C魚上
婉言	影合三C元上 疑開三C元平
婉詞	影合三C元上 邪開三之平
婉辭	影合三C元上 邪開三之平
婚介	曉合一魂平 見開二皆去
婚典	曉合一魂平 端開四先上
婚前	曉合一魂平 從開四先平
婚友	曉合一魂平 云三C尤上
婚外	曉合一魂平 疑合一泰去
婚姻	曉合一魂平 影開三A真平
婚嫁	曉合一魂平 見開二麻去
婚宴	曉合一魂平 影開四先去
婚慶	曉合一魂平 溪開三B庚去
婚戀	曉合一魂平 來合三仙去
婚書	曉合一魂平 書開三魚平
婚期	曉合一魂平 羣開三C之平
婚禮	曉合一魂平 來開四齊上
婚筵	曉合一魂平 以開三仙平
婚紗	曉合一魂平 生開二麻平
婚變	曉合一魂平 幫三B仙去
婚配	曉合一魂平 滂一灰去
婚齡	曉合一魂平 來開四青平
婦人	並三C尤上 日開三真平
婦幼	並三C尤上 影開三A幽去
婺城	明三C虞去 常開三清平
婺源	明三C虞去 疑合三C元平
媒人	明一灰平 日開三真平
媒介	明一灰平 見開二皆去
媒婆	明一灰平 並一歌平
媒材	明一灰平 從開一咍平
媒界	明一灰平 見開二皆去
媒體	明一灰平 透開四齊上
媚俗	明三B脂去 邪三鍾入
媚外	明三B脂去 疑合一泰去
媚娃	明三B脂去 影開二佳平
媚惑	明三B脂去 匣合一登入
媚態	明三B脂去 透開一咍去
媚眼	明三B脂去 疑開二山上
媚詞	明三B脂去 邪開三之平
媲美	滂四齊去 明三B脂上
媽媽	明一模上 明一模上
媽寶	明一模上 幫一豪上
媽的	明一模上 端開四青入
媽眯	明一模上 明四齊上
媽祖	明一模上 精一模上
嫁人	見開二麻去 日開三真平
嫁妝	見開二麻去 莊開三陽平
嫁娶	見開二麻去 清合三虞去
嫁接	見開二麻去 精開三鹽入
嫁禍	見開二麻去 匣合一歌上
嫁裝	見開二麻去 莊開三陽平
嫁資	見開二麻去 精開三脂平
嫂嫂	心開一豪上 心開一豪上
嫂子	心開一豪上 精開三之上
嫉妒	從開三真入 端一模去
嫉恨	從開三真入 匣開一痕去
嫌忌	匣開四添平 羣開三C之去
嫌恨	匣開四添平 匣開一痕去
嫌棄	匣開四添平 溪開三A脂去
嫌犯	匣開四添平 並三C凡上
嫌猜	匣開四添平 清開一咍平
嫌疑	匣開四添平 疑開三C之平
嫌隙	匣開四添平 溪開三B庚入
嫠婦	來開三之平 並三C尤上
嫠節	來開三之平 精開四先入
嫡子	端開四青入 精開三之上
嫣然	影開三B仙平 日開三仙平
嫣紅	影開三B仙平 匣一東平
嫩江	泥合一魂去 見二江平
嫩綠	泥合一魂去 來三鍾入
嫩芽	泥合一魂去 疑開二麻平
嫩苗	泥合一魂去 明三B宵平
嫪毐	來開一豪去 影開一咍上
嫵媚	明三C虞上 明三B脂去
嬋娟	常開三仙平 影合三A仙平
嬌喘	見開三B宵平 昌合三仙上
嬌嗔	見開三B宵平 昌開三真平
嬌嫩	見開三B宵平 泥合一魂去
嬌寵	見開三B宵平 徹三鍾上
嬌小	見開三B宵平 心開三宵上
嬌弱	見開三B宵平 日開三陽入
嬌態	見開三B宵平 透開一咍去
嬌慣	見開三B宵平 見合二刪去
嬌紅	見開三B宵平 匣一東平
嬌羞	見開三B宵平 心三尤平
嬌翠	見開三B宵平 清合三脂去
嬌豔	見開三B宵平 以開三鹽去
嬌貴	見開三B宵平 見合三C微去
嬰孩	影開三A清平 匣開一咍平
嬴政	以開三清平 章開三清去
孀婦	生開三陽平 並三C尤上
孀婺	生開三陽平 明三C虞去
孀閨	生開三陽平 見合四齊平
子丑	精開三之上 徹三尤上
子京	精開三之上 見開三B庚平
子代	精開三之上 定開一咍去
子兒	精開三之上 日開三支平
子句	精開三之上 見合三C虞去
子嗣	精開三之上 邪開三之去
子域	精開三之上 云合三B蒸入
子夜	精開三之上 以開三麻去
子孫	精開三之上 心合一魂平
子宮	精開三之上 見三C東平
子實	精開三之上 船開三真入
子層	精開三之上 從開一登平
子時	精開三之上 常開三之平
子曰	精開三之上 云合三C元入
子民	精開三之上 明三A真平
子洲	精開三之上 章三尤平
子爵	精開三之上 精開三陽入
子目	精開三之上 明三C東入
子粒	精開三之上 來開三侵入
子精	精開三之上 精開三清平
子級	精開三之上 見開三B侵入
子細	精開三之上 心開四齊去
子網	精開三之上 明三C陽上
子規	精開三之上 見合三A支平
子豬	精開三之上 知開三魚平
子貢	精開三之上 見一東去
子路	精開三之上 來一模去
子集	精開三之上 從開三侵入
子音	精開三之上 影開三B侵平
子鼠	精開三之上 書開三魚上
孑孑	見開三A仙入 見開三A仙入
孑孓	見開三A仙入 見三C鍾上
孑然	見開三A仙入 日開三仙平
孑立	見開三A仙入 來開三侵入
孑身	見開三A仙入 書開三真平
孔丘	溪一東上 溪三C尤平
孔子	溪一東上 精開三之上
孔孟	溪一東上 明二庚去
孔廟	溪一東上 明三B宵去
孔徑	溪一東上 見開四青去
孔德	溪一東上 端開一登入
孔教	溪一東上 見開二肴去
孔明	溪一東上 明三B庚平
孔東	溪一東上 端一東平
孔林	溪一東上 來開三侵平
孔武	溪一東上 明三C虞上
孔眼	溪一東上 疑開二山上
孔穴	溪一東上 匣合四先入
孔融	溪一東上 以三東平
孔道	溪一東上 定開一豪上
孔門	溪一東上 明一魂平
孔隙	溪一東上 溪開三B庚入
孔雀	溪一東上 精開三陽入
孕婦	以開三蒸去 並三C尤上
孕期	以開三蒸去 羣開三C之平
孕穗	以開三蒸去 邪合三脂去
孕童	以開三蒸去 定一東平
孕育	以開三蒸去 以三東入
字串	從開三之去 見合二刪去
字元	從開三之去 疑合三C元平
字典	從開三之去 端開四先上
字句	從開三之去 見合三C虞去
字圖	從開三之去 定一模平
字型	從開三之去 匣開四青平
字尾	從開三之去 明三C微上
字帖	從開三之去 透開四添入
字幕	從開三之去 明一唐入
字形	從開三之去 匣開四青平
字據	從開三之去 見開三C魚去
字書	從開三之去 書開三魚平
字林	從開三之去 來開三侵平
字根	從開三之去 見開一痕平
字條	從開三之去 定開四蕭平
字段	從開三之去 定合一寒去
字母	從開三之去 明一侯上
字源	從開三之去 疑合三C元平
字眼	從開三之去 疑開二山上
字碼	從開三之去 明二麻上
字符	從開三之去 並三C虞平
字節	從開三之去 精開四先入
字素	從開三之去 心一模去
字組	從開三之去 精一模上
字義	從開三之去 疑開三B支去
字腳	從開三之去 見開三C陽入
字詞	從開三之去 邪開三之平
字謎	從開三之去 明四齊去
字跡	從開三之去 精開三清入
字集	從開三之去 從開三侵入
字面	從開三之去 明三A仙去
字音	從開三之去 影開三B侵平
字體	從開三之去 透開四齊上
存亡	從合一魂平 明三C陽平
存儲	從合一魂平 澄開三魚平
存入	從合一魂平 日開三侵入
存心	從合一魂平 心開三侵平
存有	從合一魂平 云三C尤上
存根	從合一魂平 見開一痕平
存檔	從合一魂平 端開一唐平
存款	從合一魂平 溪合一寒上
存續	從合一魂平 邪三鍾入
存貨	從合一魂平 曉合一歌去
存貸	從合一魂平 透開一咍去
孜孜	精開三之平 精開三之平
孜然	精開三之平 日開三仙平
孝南	曉開二肴去 泥開一覃平
孝子	曉開二肴去 精開三之上
孝廉	曉開二肴去 來開三鹽平
孝心	曉開二肴去 心開三侵平
孝感	曉開二肴去 見開一覃上
孝敬	曉開二肴去 見開三B庚去
孝昌	曉開二肴去 昌開三陽平
孝服	曉開二肴去 並三C東入
孝義	曉開二肴去 疑開三B支去
孝肅	曉開二肴去 心三東入
孝道	曉開二肴去 定開一豪上
孝順	曉開二肴去 船合三真去
孟子	明二庚去 精開三之上
孟州	明二庚去 章三尤平
孟村	明二庚去 清合一魂平
孟津	明二庚去 精開三真平
孟買	明二庚去 明二佳上
孟郊	明二庚去 見開二肴平
季冬	見合三A脂去 端一冬平
季刊	見合三A脂去 溪開一寒平
季報	見合三A脂去 幫一豪去
季子	見合三A脂去 精開三之上
季春	見合三A脂去 昌合三真平
季節	見合三A脂去 精開四先入
季肋	見合三A脂去 來開一登入
季諾	見合三A脂去 泥開一唐入
季路	見合三A脂去 來一模去
季軍	見合三A脂去 見合三C文平
孤傲	見一模平 疑開一豪去
孤孀	見一模平 生開三陽平
孤子	見一模平 精開三之上
孤孑	見一模平 見開三A仙入
孤寂	見一模平 從開四青入
孤寒	見一模平 匣開一寒平
孤寡	見一模平 見合二麻上
孤山	見一模平 生開二山平
孤征	見一模平 章開三清平
孤拐	見一模平 見合二佳上
孤獨	見一模平 定一東入
孤立	見一模平 來開三侵入
孤絕	見一模平 從合三仙入
孤老	見一模平 來開一豪上
孤膽	見一模平 端開一談上
孤負	見一模平 並三C尤上
孤身	見一模平 書開三真平
孤陋	見一模平 來一侯去
孤鳥	見一模平 端開四蕭上
孩奴	匣開一咍平 泥一模平
孩子	匣開一咍平 精開三之上
孩童	匣開一咍平 定一東平
孫吳	心合一魂平 疑一模平
孫堅	心合一魂平 見開四先平
孫子	心合一魂平 精開三之上
孫山	心合一魂平 生開二山平
孫悅	心合一魂平 以合三仙入
孫權	心合一魂平 羣合三B仙平
孫武	心合一魂平 明三C虞上
孫犁	心合一魂平 來開四齊平
孫策	心合一魂平 初開二耕入
孫臏	心合一魂平 並三A真上
孫誅	心合一魂平 知合三虞平
孵化	滂三C虞平 曉合二麻去
孵育	滂三C虞平 以三東入
學乖	匣二江入 見合二皆平
學人	匣二江入 日開三真平
學位	匣二江入 云合三B脂去
學制	匣二江入 章開三祭去
學力	匣二江入 來開三蒸入
學名	匣二江入 明三A清平
學員	匣二江入 云合三C文平
學問	匣二江入 明三C文去
學園	匣二江入 云合三C元平
學堂	匣二江入 定開一唐平
學報	匣二江入 幫一豪去
學士	匣二江入 崇開三之上
學妹	匣二江入 明一灰去
學姐	匣二江入 精開三麻上
學子	匣二江入 精開三之上
學家	匣二江入 見開二麻平
學年	匣二江入 泥開四先平
學府	匣二江入 幫三C虞上
學徒	匣二江入 定一模平
學時	匣二江入 常開三之平
學期	匣二江入 羣開三C之平
學業	匣二江入 疑開三C嚴入
學步	匣二江入 並一模去
學歷	匣二江入 來開四青入
學派	匣二江入 滂二佳去
學海	匣二江入 曉開一咍上
學渣	匣二江入 莊開二麻平
學測	匣二江入 初開三蒸入
學潮	匣二江入 澄開三宵平
學理	匣二江入 來開三之上
學甲	匣二江入 見開二銜入
學究	匣二江入 見三C尤去
學童	匣二江入 定一東平
學籍	匣二江入 從開三清入
學級	匣二江入 見開三B侵入
學習	匣二江入 邪開三侵入
學者	匣二江入 章開三麻上
學藝	匣二江入 疑開三A祭去
學術	匣二江入 船合三真入
學運	匣二江入 云合三C文去
學銜	匣二江入 匣開二銜平
學霸	匣二江入 幫二麻去
學齡	匣二江入 來開四青平
孺人	日合三虞去 日開三真平
孺子	日合三虞去 精開三之上
宅子	澄開二庚入 精開三之上
宅男	澄開二庚入 泥開一覃平
宅第	澄開二庚入 定開四齊去
宅舍	澄開二庚入 書開三麻上
宅配	澄開二庚入 滂一灰去
宇宙	云合三C虞上 澄三尤去
宇文	云合三C虞上 明三C文平
宇航	云合三C虞上 匣開一唐平
安丘	影開一寒平 溪三C尤平
安人	影開一寒平 日開三真平
安仁	影開一寒平 日開三真平
安保	影開一寒平 幫一豪上
安倍	影開一寒平 並一灰上
安全	影開一寒平 從合三仙平
安利	影開一寒平 來開三脂去
安化	影開一寒平 曉合二麻去
安卓	影開一寒平 知二江入
安南	影開一寒平 泥開一覃平
安危	影開一寒平 疑合三B支平
安可	影開一寒平 溪開一歌上
安吉	影開一寒平 見開三A真入
安國	影開一寒平 見合一登入
安圖	影開一寒平 定一模平
安多	影開一寒平 端開一歌平
安娜	影開一寒平 泥開一歌上
安定	影開一寒平 定開四青去
安家	影開一寒平 見開二麻平
安寧	影開一寒平 泥開四青平
安岳	影開一寒平 疑二江入
安康	影開一寒平 溪開一唐平
安徽	影開一寒平 曉合三C微平
安心	影開一寒平 心開三侵平
安息	影開一寒平 心開三蒸入
安慰	影開一寒平 影合三C微去
安慶	影開一寒平 溪開三B庚去
安抵	影開一寒平 端開四齊上
安拉	影開一寒平 來開一覃入
安排	影開一寒平 並二皆平
安插	影開一寒平 初開二咸入
安撫	影開一寒平 滂三C虞上
安新	影開一寒平 心開三真平
安檢	影開一寒平 見開三B鹽上
安次	影開一寒平 清開三脂去
安歇	影開一寒平 曉開三C元入
安泰	影開一寒平 透開一泰去
安源	影開一寒平 疑合三C元平
安溪	影開一寒平 溪開四齊平
安澤	影開一寒平 澄開二庚入
安然	影開一寒平 日開三仙平
安營	影開一寒平 以合三清平
安瓶	影開一寒平 並四青平
安生	影開一寒平 生開三庚平
安眠	影開一寒平 明四先平
安神	影開一寒平 船開三真平
安祥	影開一寒平 邪開三陽平
安福	影開一寒平 幫三C東入
安穩	影開一寒平 影合一魂上
安置	影開一寒平 知開三之去
安義	影開一寒平 疑開三B支去
安舒	影開一寒平 書開三魚平
安葬	影開一寒平 精開一唐去
安藤	影開一寒平 定開一登平
安裝	影開一寒平 莊開三陽平
安西	影開一寒平 心開四齊平
安設	影開一寒平 書開三仙入
安謐	影開一寒平 明三A真入
安貞	影開一寒平 知開三清平
安身	影開一寒平 書開三真平
安逸	影開一寒平 以開三真入
安邦	影開一寒平 幫二江平
安鄉	影開一寒平 曉開三C陽平
安閑	影開一寒平 匣開二山平
安閒	影開一寒平 見開二山平
安陸	影開一寒平 來三東入
安陽	影開一寒平 以開三陽平
安靜	影開一寒平 從開三清上
安順	影開一寒平 船合三真去
安頓	影開一寒平 端合一魂去
安龍	影開一寒平 來三鍾平
宋代	心一冬去 定開一咍去
宋史	心一冬去 生開三之上
宋慈	心一冬去 從開三之平
宋書	心一冬去 書開三魚平
宋江	心一冬去 見二江平
宋白	心一冬去 並二庚入
宋祁	心一冬去 羣開三A脂平
宋體	心一冬去 透開四齊上
完了	匣合一寒平 來開四蕭上
完人	匣合一寒平 日開三真平
完備	匣合一寒平 並三B脂去
完全	匣合一寒平 從合三仙平
完善	匣合一寒平 常開三仙上
完工	匣合一寒平 見一東平
完形	匣合一寒平 匣開四青平
完成	匣合一寒平 常開三清平
完整	匣合一寒平 章開三清上
完滿	匣合一寒平 明一寒上
完畢	匣合一寒平 幫三A真入
完稅	匣合一寒平 書合三祭去
完結	匣合一寒平 見開四先入
完美	匣合一寒平 明三B脂上
宏亮	匣合二耕平 來開三陽去
宏偉	匣合二耕平 云合三C微上
宏儒	匣合二耕平 日合三虞平
宏圖	匣合二耕平 定一模平
宏揚	匣合二耕平 以開三陽平
宏旨	匣合二耕平 章開三脂上
宏碁	匣合二耕平 羣開三C之平
宏願	匣合二耕平 疑合三C元去
宕昌	定開一唐去 昌開三陽平
宕機	定開一唐去 見開三C微平
宗主	精一冬平 章合三虞上
宗匠	精一冬平 從開三陽去
宗地	精一冬平 定開四脂去
宗室	精一冬平 書開三真入
宗師	精一冬平 生開三脂平
宗廟	精一冬平 明三B宵去
宗教	精一冬平 見開二肴去
宗族	精一冬平 從一東入
宗旨	精一冬平 章開三脂上
宗派	精一冬平 滂二佳去
宗筋	精一冬平 見開三C殷平
官位	見合一寒平 云合三B脂去
官價	見合一寒平 見開二麻去
官兵	見合一寒平 幫三B庚平
官制	見合一寒平 章開三祭去
官印	見合一寒平 影開三A真去
官司	見合一寒平 心開三之平
官名	見合一寒平 明三A清平
官吏	見合一寒平 來開三之去
官員	見合一寒平 云合三C文平
官場	見合一寒平 澄開三陽平
官媒	見合一寒平 明一灰平
官子	見合一寒平 精開三之上
官學	見合一寒平 匣二江入
官客	見合一寒平 溪開二庚入
官宣	見合一寒平 心合三仙平
官宦	見合一寒平 匣合二刪去
官家	見合一寒平 見開二麻平
官府	見合一寒平 幫三C虞上
官桂	見合一寒平 見合四齊去
官渡	見合一寒平 定一模去
官爵	見合一寒平 精開三陽入
官田	見合一寒平 定開四先平
官署	見合一寒平 常開三魚去
官翻	見合一寒平 滂三C元平
官職	見合一寒平 章開三蒸入
官話	見合一寒平 匣合二夬去
官軍	見合一寒平 見合三C文平
官辦	見合一寒平 並二山去
官邸	見合一寒平 端開四齊上
官銜	見合一寒平 匣開二銜平
官階	見合一寒平 見開二皆平
官非	見合一寒平 幫三C微平
宙斯	澄三尤去 心開三支平
宜人	疑開三B支平 日開三真平
宜君	疑開三B支平 見合三C文平
宜城	疑開三B支平 常開三清平
宜家	疑開三B支平 見開二麻平
宜山	疑開三B支平 生開二山平
宜川	疑開三B支平 昌合三仙平
宜州	疑開三B支平 章三尤平
宜昌	疑開三B支平 昌開三陽平
宜春	疑開三B支平 昌合三真平
宜秀	疑開三B支平 心三尤去
宜章	疑開三B支平 章開三陽平
宜良	疑開三B支平 來開三陽平
宜蘭	疑開三B支平 來開一寒平
宜豐	疑開三B支平 滂三C東平
宜都	疑開三B支平 端一模平
宜陽	疑開三B支平 以開三陽平
宜黃	疑開三B支平 匣合一唐平
客串	溪開二庚入 見合二刪去
客人	溪開二庚入 日開三真平
客堂	溪開二庚入 定開一唐平
客場	溪開二庚入 澄開三陽平
客官	溪開二庚入 見合一寒平
客室	溪開二庚入 書開三真入
客家	溪開二庚入 見開二麻平
客店	溪開二庚入 端開四添去
客廳	溪開二庚入 透開四青平
客房	溪開二庚入 並三C陽平
客服	溪開二庚入 並三C東入
客梯	溪開二庚入 透開四齊平
客機	溪開二庚入 見開三C微平
客死	溪開二庚入 心開三脂上
客滿	溪開二庚入 明一寒上
客船	溪開二庚入 船合三仙平
客蚤	溪開二庚入 精開一豪上
客輪	溪開二庚入 來合三真平
客運	溪開二庚入 云合三C文去
客隊	溪開二庚入 定合一灰去
客體	溪開二庚入 透開四齊上
宣判	心合三仙平 滂一寒去
宣化	心合三仙平 曉合二麻去
宣城	心合三仙平 常開三清平
宣威	心合三仙平 影合三C微平
宣州	心合三仙平 章三尤平
宣布	心合三仙平 幫一模去
宣德	心合三仙平 端開一登入
宣恩	心合三仙平 影開一痕平
宣戰	心合三仙平 章開三仙去
宣揚	心合三仙平 以開三陽平
宣教	心合三仙平 見開二肴去
宣洩	心合三仙平 以開三祭去
宣漢	心合三仙平 曉開一寒去
宣紙	心合三仙平 章開三支上
