㐖毒	匣開四先入 定一冬入
上面	常開三陽去 明三A仙去
上頭	常開三陽上 定一侯平
上頭	常開三陽去 定一侯平
上馬	常開三陽上 明二麻上
下半	匣開二麻去 幫一寒去
下同	匣開二麻上 定一東平
下回	匣開二麻上 匣合一灰平
下家	匣開二麻上 見開二麻平
下層	匣開二麻上 從開一登平
下屬	匣開二麻上 常三鍾入
下巴	匣開二麻上 幫二麻平
下方	匣開二麻上 幫三C陽平
下旬	匣開二麻上 邪合三真平
下賤	匣開二麻上 從開三仙去
下身	匣開二麻上 書開三真平
下邊	匣開二麻上 幫四先平
下面	匣開二麻上 明三A仙去
下體	匣開二麻上 透開四齊上
丐幫	見開一泰去 幫一唐平
丑時	徹三尤上 常開三之平
丑牛	徹三尤上 疑三C尤平
丑角	徹三尤上 見二江入
丑鴨	徹三尤上 影開二銜入
丕變	滂三B脂平 幫三B仙去
丘八	溪三C尤平 幫二山入
丘北	溪三C尤平 幫一登入
丘壑	溪三C尤平 曉開一唐入
丘疹	溪三C尤平 章開三真上
丘腦	溪三C尤平 泥開一豪上
丘陵	溪三C尤平 來開三蒸平
丘鷸	溪三C尤平 以合三真入
丙午	幫三B庚上 疑一模上
丙型	幫三B庚上 匣開四青平
丙基	幫三B庚上 見開三C之平
丙子	幫三B庚上 精開三之上
丙戌	幫三B庚上 心合三真入
丙申	幫三B庚上 書開三真平
丙等	幫三B庚上 端開一登上
丙糖	幫三B庚上 定開一唐平
丙辰	幫三B庚上 常開三真平
丙醇	幫三B庚上 常合三真平
並入	並四青上 日開三侵入
並口	並四青上 溪一侯上
並存	並四青上 從合一魂平
並把	並四青上 幫二麻上
並排	並四青上 並二皆平
並條	並四青上 定開四蕭平
並立	並四青上 來開三侵入
並肩	並四青上 見開四先平
並臻	並四青上 莊開三臻平
並舉	並四青上 見開三C魚上
並進	並四青上 精開三真去
並非	並四青上 幫三C微平
丫子	影開二麻平 精開三之上
丫杈	影開二麻平 初開二麻平
丫環	影開二麻平 匣合二刪平
丫角	影開二麻平 見二江入
丫頭	影開二麻平 定一侯平
丫髻	影開二麻平 見開四齊去
丫鬟	影開二麻平 匣合二刪平
中人	知三東平 日開三真平
中俄	知三東平 疑開一歌平
中共	知三東平 羣三C鍾去
中印	知三東平 影開三A真去
中古	知三東平 見一模上
中國	知三東平 見合一登入
中型	知三東平 匣開四青平
中堅	知三東平 見開四先平
中場	知三東平 澄開三陽平
中天	知三東平 透開四先平
中子	知三東平 精開三之上
中局	知三東平 羣三C鍾入
中層	知三東平 從開一登平
中巴	知三東平 幫二麻平
中師	知三東平 生開三脂平
中幫	知三東平 幫一唐平
中年	知三東平 泥開四先平
中庸	知三東平 以三鍾平
中廳	知三東平 透開四青平
中徑	知三東平 見開四青去
中心	知三東平 心開三侵平
中性	知三東平 心開三清去
中意	知三東去 影開三C之去
中板	知三東平 幫二刪上
中正	知三東平 章開三清去
中水	知三東平 書合三脂上
中流	知三東平 來三尤平
中的	知三東去 端開四青入
中盤	知三東平 並一寒平
中程	知三東平 澄開三清平
中空	知三東平 溪一東平
中立	知三東平 來開三侵入
中等	知三東平 端開一登上
中級	知三東平 見開三B侵入
中線	知三東平 心開三仙去
中耳	知三東平 日開三之上
中聲	知三東平 書開三清平
中脊	知三東平 精開三清入
中裝	知三東平 莊開三陽平
中資	知三東平 精開三脂平
中路	知三東平 來一模去
中軸	知三東平 澄三東入
中輟	知三東平 知合三仙入
中途	知三東平 定一模平
中鋒	知三東平 滂三C鍾平
中隔	知三東平 見開二耕入
中飽	知三東平 幫二肴上
中點	知三東平 端開四添上
丰姿	滂三C鍾平 精開三脂平
丰采	滂三C鍾平 清開一咍上
串口	見合二刪去 溪一侯上
串味	見合二刪去 明三C微去
串崗	見合二刪去 見開一唐平
串換	見合二刪去 匣合一寒去
串流	見合二刪去 來三尤平
串線	見合二刪去 心開三仙去
串謀	見合二刪去 明三C尤平
串通	見合二刪去 透一東平
串鄉	見合二刪去 曉開三C陽平
串門	見合二刪去 明一魂平
串音	見合二刪去 影開三B侵平
丸子	匣合一寒平 精開三之上
丸山	匣合一寒平 生開二山平
丹佛	端開一寒平 並三C文入
丹寧	端開一寒平 泥開四青平
丹尼	端開一寒平 孃開三脂平
丹巴	端開一寒平 幫二麻平
丹彩	端開一寒平 清開一咍上
丹徒	端開一寒平 定一模平
丹心	端開一寒平 心開三侵平
丹東	端開一寒平 端一東平
丹桂	端開一寒平 見合四齊去
丹毒	端開一寒平 定一冬入
丹瑞	端開一寒平 常合三支去
丹田	端開一寒平 定開四先平
丹皮	端開一寒平 並三B支平
丹砂	端開一寒平 生開二麻平
丹稜	端開一寒平 來開一登平
丹貝	端開一寒平 幫一泰去
丹陽	端開一寒平 以開三陽平
丹霞	端開一寒平 匣開二麻平
丹鳳	端開一寒平 並三C東去
丹麥	端開一寒平 明二耕入
主人	章合三虞上 日開三真平
主修	章合三虞上 心三尤平
主公	章合三虞上 見一東平
主力	章合三虞上 來開三蒸入
主動	章合三虞上 定一東上
主因	章合三虞上 影開三A真平
主場	章合三虞上 澄開三陽平
主婦	章合三虞上 並三C尤上
主嫌	章合三虞上 匣開四添平
主子	章合三虞上 精開三之上
主宰	章合三虞上 精開一咍上
主導	章合三虞上 定開一豪去
主席	章合三虞上 邪開三清入
主幹	章合三虞上 見開一寒去
主廚	章合三虞上 澄合三虞平
主廳	章合三虞上 透開四青平
主意	章合三虞上 影開三C之去
主持	章合三虞上 澄開三之平
主掌	章合三虞上 章開三陽上
主播	章合三虞上 幫一歌去
主教	章合三虞上 見開二肴去
主族	章合三虞上 從一東入
主日	章合三虞上 日開三真入
主旨	章合三虞上 章開三脂上
主材	章合三虞上 從開一咍平
主板	章合三虞上 幫二刪上
主業	章合三虞上 疑開三C嚴入
主樓	章合三虞上 來一侯平
主機	章合三虞上 見開三C微平
